Shipment_ID,Ship_Date,Scheduled_Delivery,Actual_Delivery,Carrier,Origin,Destination,Lane,Distance_Miles,Shipment_Mode,Product_Category,Weight_LBS,Cost_Per_Mile,Total_Freight_Cost,Tender_Accepted,Tender_Sequence,On_Time_Delivery,Damage_Claim,Transit_Days_Scheduled,Transit_Days_Actual
SHP-100805,2024-10-07,2024-10-10,2024-10-10,Great Lakes Transport,"Windsor, ON","Boston, MA","Windsor, ON → Boston, MA",1059,TL,Peppers,36680,2.34,2482.1,1,1,1,0,3,3
SHP-100806,2025-09-18,2025-09-19,2025-09-19,GreenRoute Logistics,"Leamington, ON","Columbus, OH","Leamington, ON → Columbus, OH",415,Reefer,Strawberries,30141,3.52,1462.02,1,1,1,0,1,1
SHP-100807,2025-01-02,2025-01-09,2025-01-09,Maple Leaf Freight,"Windsor, ON","Calgary, AB","Windsor, ON → Calgary, AB",3400,LTL,Lettuce,6991,2.39,8141.13,1,1,1,0,7,7
SHP-100808,2025-10-27,2025-10-28,2025-10-28,Atlantic Carriers,"Kingsville, ON","Chicago, IL","Kingsville, ON → Chicago, IL",460,Reefer,Lettuce,39367,3.67,1687.54,1,1,1,0,1,1
SHP-100809,2024-02-03,2024-02-06,2024-02-07,Summit Trucking,"Windsor, ON","Boston, MA","Windsor, ON → Boston, MA",1063,Reefer,Tomatoes,33712,3.55,3769.35,0,2,0,0,3,4
SHP-100811,2025-03-25,2025-03-26,2025-03-26,GreenRoute Logistics,"Leamington, ON","Buffalo, NY","Leamington, ON → Buffalo, NY",301,TL,Mixed Produce,42099,2.78,837.2,1,1,1,0,1,1
SHP-100812,2025-02-18,2025-02-19,2025-02-19,TransNorth Logistics,"Leamington, ON","Columbus, OH","Leamington, ON → Columbus, OH",404,TL,Mixed Produce,41108,2.67,1078.48,0,2,1,0,1,1
SHP-100814,2025-04-12,2025-04-15,2025-04-15,TransNorth Logistics,"Windsor, ON","Atlanta, GA","Windsor, ON → Atlanta, GA",1104,TL,Peppers,31104,2.51,2774.51,1,1,1,0,3,3
SHP-100815,2025-07-25,2025-07-26,2025-07-26,TransNorth Logistics,"Kingsville, ON","Detroit, MI","Kingsville, ON → Detroit, MI",63,TL,Cucumbers,33854,3.03,190.78,1,1,1,0,1,1
SHP-100816,2024-10-19,2024-10-20,2024-10-20,CrossBorder Freight,"Kingsville, ON","Chicago, IL","Kingsville, ON → Chicago, IL",430,TL,Lettuce,43689,3.84,1650.58,1,1,1,0,1,1
SHP-100817,2024-05-25,2024-05-27,2024-05-27,CrossBorder Freight,"Windsor, ON","Philadelphia, PA","Windsor, ON → Philadelphia, PA",768,Reefer,Mixed Produce,28664,3.79,2910.36,1,1,1,0,2,2
SHP-100818,2025-08-22,2025-08-23,2025-08-23,Northern Star Haulage,"Kingsville, ON","Chicago, IL","Kingsville, ON → Chicago, IL",449,Reefer,Lettuce,26538,3.54,1590.15,1,1,1,0,1,1
SHP-100819,2025-08-27,2025-08-30,2025-08-30,FreshHaul Inc.,"Windsor, ON","Atlanta, GA","Windsor, ON → Atlanta, GA",1096,Reefer,Lettuce,25174,5.03,5511.86,1,1,1,0,3,3
SHP-100820,2025-12-29,2026-01-05,2026-01-05,Great Lakes Transport,"Windsor, ON","Calgary, AB","Windsor, ON → Calgary, AB",3396,TL,Mixed Produce,42046,1.86,6313.64,1,1,1,0,7,7
SHP-100821,2025-01-06,2025-01-08,2025-01-08,Maple Leaf Freight,"Leamington, ON","Pittsburgh, PA","Leamington, ON → Pittsburgh, PA",515,Reefer,Mixed Produce,26151,3.4,1751.64,1,1,1,0,2,2
SHP-100822,2024-06-12,2024-06-13,2024-06-13,Summit Trucking,"Kingsville, ON","Toronto, ON","Kingsville, ON → Toronto, ON",343,Reefer,Peppers,29769,4.02,1379.12,0,2,1,0,1,1
SHP-100823,2024-06-15,2024-06-18,2024-06-18,Great Lakes Transport,"Windsor, ON","Boston, MA","Windsor, ON → Boston, MA",1033,LTL,Mixed Produce,7972,2.53,2612.37,1,1,1,0,3,3
SHP-100824,2025-04-01,2025-04-05,2025-04-05,Prairie Express,"Windsor, ON","Winnipeg, MB","Windsor, ON → Winnipeg, MB",1919,TL,Peppers,32240,2.9,5557.22,1,1,1,0,4,4
SHP-100825,2025-09-29,2025-09-30,2025-09-30,TransNorth Logistics,"Leamington, ON","Buffalo, NY","Leamington, ON → Buffalo, NY",284,Reefer,Lettuce,25389,3.53,1001.43,0,3,1,1,1,1
SHP-100826,2024-08-31,2024-09-01,2024-09-01,CrossBorder Freight,"Leamington, ON","Buffalo, NY","Leamington, ON → Buffalo, NY",304,TL,Lettuce,30451,3.59,1092.64,1,1,1,1,1,1
SHP-100827,2025-07-14,2025-07-16,2025-07-16,Northern Star Haulage,"Windsor, ON","Philadelphia, PA","Windsor, ON → Philadelphia, PA",752,TL,Peppers,33093,3.38,2541.86,1,1,1,0,2,2
SHP-100828,2024-02-07,2024-02-09,2024-02-09,Great Lakes Transport,"Windsor, ON","Philadelphia, PA","Windsor, ON → Philadelphia, PA",736,TL,Tomatoes,38566,2.65,1947.34,1,1,1,0,2,2
SHP-100829,2024-03-30,2024-04-01,2024-04-01,TransNorth Logistics,"Kingsville, ON","Montreal, QC","Kingsville, ON → Montreal, QC",832,Reefer,Lettuce,36254,3.29,2736.63,0,2,1,0,2,2
SHP-100830,2025-04-11,2025-04-13,2025-04-13,GreenRoute Logistics,"Kingsville, ON","Ottawa, ON","Kingsville, ON → Ottawa, ON",741,TL,Tomatoes,40570,3.24,2403.08,1,1,1,0,2,2
SHP-100831,2025-01-23,2025-01-26,2025-01-26,Maple Leaf Freight,"Windsor, ON","Boston, MA","Windsor, ON → Boston, MA",1034,TL,Lettuce,31424,2.91,3012.05,1,1,1,0,3,3
SHP-100832,2024-05-04,2024-05-06,2024-05-06,Prairie Express,"Kingsville, ON","Ottawa, ON","Kingsville, ON → Ottawa, ON",757,TL,Strawberries,36261,2.71,2052.14,1,1,1,0,2,2
SHP-100833,2024-02-29,2024-03-01,2024-03-01,Maple Leaf Freight,"Leamington, ON","Columbus, OH","Leamington, ON → Columbus, OH",412,TL,Mixed Produce,33951,3.3,1358.66,0,3,1,0,1,1
SHP-100834,2025-03-13,2025-03-15,2025-03-15,GreenRoute Logistics,"Windsor, ON","Philadelphia, PA","Windsor, ON → Philadelphia, PA",731,TL,Cucumbers,37846,2.85,2084.62,1,1,1,0,2,2
SHP-100835,2024-05-12,2024-05-13,2024-05-13,GreenRoute Logistics,"Leamington, ON","Columbus, OH","Leamington, ON → Columbus, OH",383,Reefer,Lettuce,38395,4.14,1583.79,1,1,1,0,1,1
SHP-100836,2024-07-03,2024-07-10,2024-07-10,FreshHaul Inc.,"Windsor, ON","Calgary, AB","Windsor, ON → Calgary, AB",3393,Reefer,Cucumbers,30941,4.97,16852,0,2,1,1,7,7
SHP-100837,2024-07-31,2024-08-01,2024-08-01,Summit Trucking,"Leamington, ON","Toronto, ON","Leamington, ON → Toronto, ON",368,TL,Tomatoes,37196,3.39,1247.75,1,1,1,0,1,1
SHP-100838,2024-01-12,2024-01-19,2024-01-19,FreshHaul Inc.,"Windsor, ON","Calgary, AB","Windsor, ON → Calgary, AB",3387,TL,Cucumbers,35788,3.18,10777.75,1,1,1,0,7,7
SHP-100839,2025-07-17,2025-07-19,2025-07-19,TransNorth Logistics,"Kingsville, ON","Montreal, QC","Kingsville, ON → Montreal, QC",839,TL,Mixed Produce,30517,3.27,2740.53,1,1,1,0,2,2
SHP-100840,2024-01-30,2024-01-31,2024-02-02,Great Lakes Transport,"Kingsville, ON","Detroit, MI","Kingsville, ON → Detroit, MI",44,TL,Cucumbers,43779,2.48,109.17,0,2,0,0,1,3
SHP-100841,2025-10-23,2025-10-24,2025-10-27,Great Lakes Transport,"Leamington, ON","Buffalo, NY","Leamington, ON → Buffalo, NY",306,LTL,Peppers,12162,2.32,709.06,1,1,0,0,1,4
SHP-100842,2025-04-18,2025-04-21,2025-04-21,Summit Trucking,"Windsor, ON","Atlanta, GA","Windsor, ON → Atlanta, GA",1114,TL,Mixed Produce,35755,3.64,4050.69,1,1,1,0,3,3
SHP-100843,2025-11-25,2025-11-27,2025-11-27,Atlantic Carriers,"Leamington, ON","Pittsburgh, PA","Leamington, ON → Pittsburgh, PA",503,LTL,Strawberries,9117,2.69,1350.91,1,1,1,0,2,2
SHP-100844,2024-12-28,2024-12-29,2024-12-29,Maple Leaf Freight,"Kingsville, ON","Chicago, IL","Kingsville, ON → Chicago, IL",456,TL,Cucumbers,44565,2.64,1204.29,1,1,1,0,1,1
SHP-100845,2025-07-01,2025-07-02,2025-07-02,GreenRoute Logistics,"Leamington, ON","Columbus, OH","Leamington, ON → Columbus, OH",399,TL,Lettuce,43237,3.45,1376.25,1,1,1,0,1,1
SHP-100846,2024-11-11,2024-11-18,2024-11-18,Atlantic Carriers,"Windsor, ON","Calgary, AB","Windsor, ON → Calgary, AB",3414,LTL,Tomatoes,7849,3.16,10792.33,1,1,1,0,7,7
SHP-100847,2025-01-15,2025-01-17,2025-01-17,CrossBorder Freight,"Windsor, ON","Philadelphia, PA","Windsor, ON → Philadelphia, PA",751,Reefer,Cucumbers,26742,3.23,2428.21,1,1,1,0,2,2
SHP-100848,2024-02-08,2024-02-11,2024-02-11,FreshHaul Inc.,"Windsor, ON","Atlanta, GA","Windsor, ON → Atlanta, GA",1111,LTL,Tomatoes,9195,3.46,3842.86,1,1,1,0,3,3
SHP-100849,2025-05-27,2025-05-28,2025-05-28,Great Lakes Transport,"Kingsville, ON","Detroit, MI","Kingsville, ON → Detroit, MI",41,Reefer,Cucumbers,34280,3.16,129.55,0,3,1,0,1,1
SHP-100850,2024-05-26,2024-05-28,2024-05-28,Maple Leaf Freight,"Windsor, ON","Philadelphia, PA","Windsor, ON → Philadelphia, PA",744,TL,Strawberries,32994,2.8,2081.64,1,1,1,0,2,2
SHP-100851,2025-04-15,2025-04-22,2025-04-22,Summit Trucking,"Windsor, ON","Calgary, AB","Windsor, ON → Calgary, AB",3400,TL,Strawberries,31813,2.47,8386.59,1,1,1,0,7,7
SHP-100852,2025-08-31,2025-09-01,2025-09-01,Atlantic Carriers,"Leamington, ON","Buffalo, NY","Leamington, ON → Buffalo, NY",307,LTL,Tomatoes,9396,3.39,1041.53,1,1,1,0,1,1
SHP-100853,2024-01-24,2024-01-27,2024-01-27,GreenRoute Logistics,"Windsor, ON","Boston, MA","Windsor, ON → Boston, MA",1033,Reefer,Cucumbers,25082,3.58,3696.81,1,1,1,0,3,3
SHP-100854,2024-10-20,2024-10-22,2024-10-22,Prairie Express,"Leamington, ON","Pittsburgh, PA","Leamington, ON → Pittsburgh, PA",511,LTL,Cucumbers,13367,2.25,1149.36,0,2,1,0,2,2
SHP-100855,2024-10-07,2024-10-08,2024-10-08,Maple Leaf Freight,"Kingsville, ON","Toronto, ON","Kingsville, ON → Toronto, ON",367,TL,Strawberries,30369,2.85,1045.84,1,1,1,0,1,1
SHP-100856,2025-07-16,2025-07-23,2025-07-23,Great Lakes Transport,"Windsor, ON","Calgary, AB","Windsor, ON → Calgary, AB",3400,Reefer,Cucumbers,28676,3.98,13523.84,1,1,1,0,7,7
SHP-100857,2024-12-12,2024-12-13,2024-12-13,Northern Star Haulage,"Leamington, ON","Buffalo, NY","Leamington, ON → Buffalo, NY",288,TL,Tomatoes,32962,3.06,882.33,1,1,1,0,1,1
SHP-100858,2024-04-18,2024-04-19,2024-04-19,Summit Trucking,"Kingsville, ON","Toronto, ON","Kingsville, ON → Toronto, ON",349,TL,Tomatoes,40278,3.31,1156.74,1,1,1,0,1,1
SHP-100859,2025-08-29,2025-08-30,2025-08-30,CrossBorder Freight,"Leamington, ON","Columbus, OH","Leamington, ON → Columbus, OH",402,TL,Cucumbers,43747,3.46,1391.43,1,1,1,0,1,1
SHP-100860,2025-11-17,2025-11-19,2025-11-19,Northern Star Haulage,"Kingsville, ON","Montreal, QC","Kingsville, ON → Montreal, QC",863,TL,Lettuce,38252,2.44,2104.72,1,1,1,0,2,2
SHP-100861,2025-12-16,2025-12-18,2025-12-18,CrossBorder Freight,"Kingsville, ON","Montreal, QC","Kingsville, ON → Montreal, QC",832,TL,Lettuce,31184,2.97,2470.78,1,1,1,0,2,2
SHP-100862,2025-04-26,2025-04-27,2025-04-27,FreshHaul Inc.,"Kingsville, ON","Detroit, MI","Kingsville, ON → Detroit, MI",49,Reefer,Peppers,29370,4.07,199.52,1,1,1,0,1,1
SHP-100863,2025-02-05,2025-02-12,2025-02-12,Great Lakes Transport,"Windsor, ON","Calgary, AB","Windsor, ON → Calgary, AB",3415,Reefer,Mixed Produce,39924,2.9,9920.09,1,1,1,0,7,7
SHP-100864,2025-05-14,2025-05-16,2025-05-16,TransNorth Logistics,"Kingsville, ON","Montreal, QC","Kingsville, ON → Montreal, QC",867,Reefer,Lettuce,35103,3.8,3292.68,1,1,1,0,2,2
SHP-100865,2024-10-16,2024-10-17,2024-10-17,Atlantic Carriers,"Leamington, ON","Columbus, OH","Leamington, ON → Columbus, OH",406,LTL,Strawberries,5690,2.48,1007.66,1,1,1,0,1,1
SHP-100866,2024-04-19,2024-04-20,2024-04-20,Atlantic Carriers,"Leamington, ON","Pittsburgh, PA","Leamington, ON → Pittsburgh, PA",485,Reefer,Mixed Produce,41678,4.04,1959.86,1,1,1,0,1,1
SHP-100867,2025-08-27,2025-08-28,2025-08-28,GreenRoute Logistics,"Kingsville, ON","Detroit, MI","Kingsville, ON → Detroit, MI",67,Reefer,Strawberries,37855,4.11,275.69,1,1,1,0,1,1
SHP-100868,2024-08-01,2024-08-02,2024-08-02,GreenRoute Logistics,"Leamington, ON","Toronto, ON","Leamington, ON → Toronto, ON",377,TL,Lettuce,40659,4.04,1523.77,1,1,1,0,1,1
SHP-100869,2024-06-26,2024-07-03,2024-07-03,Maple Leaf Freight,"Windsor, ON","Calgary, AB","Windsor, ON → Calgary, AB",3416,Reefer,Mixed Produce,32697,3.96,13525.14,1,1,1,0,7,7
SHP-100870,2025-04-19,2025-04-20,2025-04-20,Atlantic Carriers,"Leamington, ON","Pittsburgh, PA","Leamington, ON → Pittsburgh, PA",490,LTL,Tomatoes,11915,2.86,1400.36,1,1,1,0,1,1
SHP-100871,2024-03-12,2024-03-14,2024-03-14,GreenRoute Logistics,"Kingsville, ON","Montreal, QC","Kingsville, ON → Montreal, QC",851,LTL,Mixed Produce,8644,2.66,2262,1,1,1,0,2,2
SHP-100872,2025-05-21,2025-05-23,2025-05-23,TransNorth Logistics,"Kingsville, ON","Montreal, QC","Kingsville, ON → Montreal, QC",857,TL,Peppers,39014,2.79,2391.74,1,1,1,0,2,2
SHP-100873,2025-10-13,2025-10-16,2025-10-16,TransNorth Logistics,"Windsor, ON","Boston, MA","Windsor, ON → Boston, MA",1032,TL,Peppers,44065,3.02,3117.87,1,1,1,0,3,3
SHP-100874,2025-09-22,2025-09-23,2025-09-23,FreshHaul Inc.,"Kingsville, ON","Detroit, MI","Kingsville, ON → Detroit, MI",60,TL,Mixed Produce,30644,3.35,201.14,1,1,1,0,1,1
SHP-100875,2025-11-26,2025-11-29,2025-11-30,Prairie Express,"Windsor, ON","Atlanta, GA","Windsor, ON → Atlanta, GA",1089,Reefer,Lettuce,41625,3.14,3420.24,1,1,0,0,3,4
SHP-100876,2025-09-18,2025-09-20,2025-09-20,Summit Trucking,"Windsor, ON","Philadelphia, PA","Windsor, ON → Philadelphia, PA",749,TL,Peppers,35059,2.95,2209.16,0,2,1,0,2,2
SHP-100877,2024-01-01,2024-01-03,2024-01-03,Northern Star Haulage,"Windsor, ON","Philadelphia, PA","Windsor, ON → Philadelphia, PA",734,TL,Cucumbers,32187,2.59,1903.55,1,1,1,0,2,2
SHP-100878,2025-03-18,2025-03-19,2025-03-19,GreenRoute Logistics,"Leamington, ON","Toronto, ON","Leamington, ON → Toronto, ON",362,TL,Mixed Produce,30060,2.7,978.15,1,1,1,0,1,1
SHP-100879,2025-07-12,2025-07-13,2025-07-13,Great Lakes Transport,"Leamington, ON","Buffalo, NY","Leamington, ON → Buffalo, NY",303,Reefer,Peppers,38622,3.79,1148.64,1,1,1,0,1,1
SHP-100880,2025-03-03,2025-03-05,2025-03-05,Great Lakes Transport,"Kingsville, ON","New York, NY","Kingsville, ON → New York, NY",884,TL,Mixed Produce,36121,2.43,2148.52,1,1,1,0,2,2
SHP-100881,2024-05-27,2024-05-31,2024-05-31,CrossBorder Freight,"Windsor, ON","Winnipeg, MB","Windsor, ON → Winnipeg, MB",1918,TL,Lettuce,37024,3.23,6197.17,0,3,1,0,4,4
SHP-100882,2025-04-11,2025-04-14,2025-04-14,GreenRoute Logistics,"Windsor, ON","Atlanta, GA","Windsor, ON → Atlanta, GA",1114,TL,Lettuce,32472,2.94,3280.26,1,1,1,0,3,3
SHP-100883,2025-04-05,2025-04-07,2025-04-07,Summit Trucking,"Kingsville, ON","Ottawa, ON","Kingsville, ON → Ottawa, ON",734,LTL,Peppers,11219,2.63,1927.5,1,1,1,0,2,2
SHP-100884,2024-08-30,2024-08-31,2024-08-31,Prairie Express,"Leamington, ON","Toronto, ON","Leamington, ON → Toronto, ON",361,TL,Strawberries,41502,3,1084.41,1,1,1,0,1,1
SHP-100885,2025-05-09,2025-05-11,2025-05-11,Atlantic Carriers,"Kingsville, ON","Montreal, QC","Kingsville, ON → Montreal, QC",866,TL,Strawberries,36815,2.69,2328.58,1,1,1,0,2,2
SHP-100886,2025-06-23,2025-06-24,2025-06-25,Prairie Express,"Leamington, ON","Buffalo, NY","Leamington, ON → Buffalo, NY",302,TL,Strawberries,41510,3.05,921.08,1,1,0,0,1,2
SHP-100887,2025-10-07,2025-10-11,2025-10-11,Maple Leaf Freight,"Windsor, ON","Winnipeg, MB","Windsor, ON → Winnipeg, MB",1919,Reefer,Mixed Produce,33837,3.5,6710.95,1,1,1,0,4,4
SHP-100888,2024-12-17,2024-12-20,2024-12-20,Northern Star Haulage,"Windsor, ON","Boston, MA","Windsor, ON → Boston, MA",1062,TL,Tomatoes,34733,2.84,3015.58,1,1,1,0,3,3
SHP-100889,2024-12-05,2024-12-07,2024-12-07,Summit Trucking,"Kingsville, ON","Ottawa, ON","Kingsville, ON → Ottawa, ON",761,Reefer,Cucumbers,26673,3.64,2772.99,1,1,1,0,2,2
SHP-100890,2024-11-07,2024-11-09,2024-11-09,GreenRoute Logistics,"Kingsville, ON","New York, NY","Kingsville, ON → New York, NY",913,LTL,Tomatoes,12178,3.35,3058.71,1,1,1,0,2,2
SHP-100891,2025-11-03,2025-11-06,2025-11-06,Prairie Express,"Windsor, ON","Boston, MA","Windsor, ON → Boston, MA",1043,TL,Mixed Produce,33630,2.09,2176.44,1,1,1,0,3,3
SHP-100893,2024-10-11,2024-10-12,2024-10-13,Prairie Express,"Kingsville, ON","Chicago, IL","Kingsville, ON → Chicago, IL",444,Reefer,Strawberries,35602,2.93,1301.17,1,1,0,0,1,2
SHP-100894,2025-09-10,2025-09-17,2025-09-17,GreenRoute Logistics,"Windsor, ON","Calgary, AB","Windsor, ON → Calgary, AB",3388,TL,Peppers,33005,3.31,11229,1,1,1,0,7,7
SHP-100895,2025-12-18,2025-12-19,2025-12-19,FreshHaul Inc.,"Leamington, ON","Buffalo, NY","Leamington, ON → Buffalo, NY",319,Reefer,Peppers,33640,4.03,1284.12,1,1,1,0,1,1
SHP-100896,2024-03-27,2024-03-28,2024-03-28,Great Lakes Transport,"Leamington, ON","Columbus, OH","Leamington, ON → Columbus, OH",408,LTL,Peppers,10618,2.87,1171.32,0,3,1,0,1,1
SHP-100897,2024-08-31,2024-09-01,2024-09-01,Great Lakes Transport,"Kingsville, ON","Detroit, MI","Kingsville, ON → Detroit, MI",68,LTL,Strawberries,5204,2.93,199.18,1,1,1,0,1,1
SHP-100898,2024-04-28,2024-04-29,2024-04-29,TransNorth Logistics,"Kingsville, ON","Chicago, IL","Kingsville, ON → Chicago, IL",458,TL,Lettuce,34951,2.5,1145.57,1,1,1,0,1,1
SHP-100899,2025-06-29,2025-06-30,2025-06-30,Summit Trucking,"Leamington, ON","Buffalo, NY","Leamington, ON → Buffalo, NY",284,Reefer,Cucumbers,40810,4.14,1175.41,1,1,1,1,1,1
SHP-100900,2025-04-04,2025-04-08,2025-04-08,Summit Trucking,"Windsor, ON","Winnipeg, MB","Windsor, ON → Winnipeg, MB",1886,Reefer,Cucumbers,38414,3.41,6431.44,0,3,1,0,4,4
SHP-100901,2025-03-18,2025-03-21,2025-03-21,GreenRoute Logistics,"Windsor, ON","Atlanta, GA","Windsor, ON → Atlanta, GA",1096,Reefer,Mixed Produce,32374,3.78,4148.29,0,2,1,0,3,3
SHP-100902,2024-09-18,2024-09-19,2024-09-19,Summit Trucking,"Leamington, ON","Buffalo, NY","Leamington, ON → Buffalo, NY",308,LTL,Mixed Produce,14359,2.87,884.99,1,1,1,0,1,1
SHP-100903,2024-07-18,2024-07-20,2024-07-20,Great Lakes Transport,"Kingsville, ON","Ottawa, ON","Kingsville, ON → Ottawa, ON",751,Reefer,Strawberries,35738,3.63,2724.9,1,1,1,0,2,2
SHP-100904,2025-02-25,2025-02-26,2025-02-26,Maple Leaf Freight,"Leamington, ON","Pittsburgh, PA","Leamington, ON → Pittsburgh, PA",486,LTL,Tomatoes,9434,2.46,1196.48,1,1,1,0,1,1
SHP-100905,2024-09-14,2024-09-15,2024-09-15,TransNorth Logistics,"Leamington, ON","Columbus, OH","Leamington, ON → Columbus, OH",394,LTL,Tomatoes,8764,2.76,1089.25,1,1,1,0,1,1
SHP-100906,2024-08-10,2024-08-17,2024-08-17,Maple Leaf Freight,"Windsor, ON","Calgary, AB","Windsor, ON → Calgary, AB",3409,LTL,Tomatoes,11801,3.01,10259.77,1,1,1,0,7,7
SHP-100907,2025-10-25,2025-10-28,2025-10-28,GreenRoute Logistics,"Windsor, ON","Boston, MA","Windsor, ON → Boston, MA",1061,TL,Peppers,32565,3.22,3413.67,0,3,1,0,3,3
SHP-100908,2025-11-07,2025-11-11,2025-11-11,Maple Leaf Freight,"Windsor, ON","Winnipeg, MB","Windsor, ON → Winnipeg, MB",1891,TL,Lettuce,35991,2.92,5517.92,0,3,1,0,4,4
SHP-100909,2024-09-20,2024-09-22,2024-09-22,Maple Leaf Freight,"Kingsville, ON","New York, NY","Kingsville, ON → New York, NY",881,LTL,Tomatoes,13181,2.76,2434.54,1,1,1,0,2,2
SHP-100910,2024-09-28,2024-09-29,2024-09-29,Maple Leaf Freight,"Leamington, ON","Buffalo, NY","Leamington, ON → Buffalo, NY",294,TL,Peppers,42508,2.54,745.89,1,1,1,0,1,1
SHP-100911,2024-05-27,2024-05-30,2024-05-30,Northern Star Haulage,"Windsor, ON","Boston, MA","Windsor, ON → Boston, MA",1048,TL,Lettuce,38397,2.89,3024.44,1,1,1,0,3,3
SHP-100913,2024-03-15,2024-03-16,2024-03-16,Maple Leaf Freight,"Leamington, ON","Columbus, OH","Leamington, ON → Columbus, OH",419,TL,Mixed Produce,40813,2.66,1116.28,1,1,1,0,1,1
SHP-100914,2024-06-01,2024-06-04,2024-06-04,TransNorth Logistics,"Windsor, ON","Atlanta, GA","Windsor, ON → Atlanta, GA",1090,LTL,Tomatoes,11239,2.22,2418.22,1,1,1,0,3,3
SHP-100915,2025-02-04,2025-02-05,2025-02-05,GreenRoute Logistics,"Kingsville, ON","Toronto, ON","Kingsville, ON → Toronto, ON",356,TL,Strawberries,30897,2.98,1061.04,1,1,1,0,1,1
SHP-100916,2025-02-17,2025-02-19,2025-02-21,Maple Leaf Freight,"Leamington, ON","Pittsburgh, PA","Leamington, ON → Pittsburgh, PA",507,LTL,Peppers,6505,3.17,1605.36,1,1,0,0,2,4
SHP-100917,2025-07-02,2025-07-04,2025-07-04,Atlantic Carriers,"Kingsville, ON","Ottawa, ON","Kingsville, ON → Ottawa, ON",744,TL,Mixed Produce,40147,3.51,2614.15,1,1,1,0,2,2
SHP-100918,2025-10-24,2025-10-26,2025-10-26,Maple Leaf Freight,"Kingsville, ON","Ottawa, ON","Kingsville, ON → Ottawa, ON",766,LTL,Strawberries,7854,3.14,2402.75,1,1,1,0,2,2
SHP-100919,2024-10-23,2024-10-24,2024-10-24,FreshHaul Inc.,"Kingsville, ON","Chicago, IL","Kingsville, ON → Chicago, IL",461,LTL,Strawberries,8792,2.76,1272.22,1,1,1,0,1,1
SHP-100920,2025-12-13,2025-12-16,2025-12-16,Summit Trucking,"Windsor, ON","Atlanta, GA","Windsor, ON → Atlanta, GA",1107,TL,Tomatoes,38411,3.18,3525.05,1,1,1,0,3,3
SHP-100921,2025-10-09,2025-10-16,2025-10-16,CrossBorder Freight,"Windsor, ON","Calgary, AB","Windsor, ON → Calgary, AB",3385,Reefer,Peppers,35640,4.09,13850.68,1,1,1,0,7,7
SHP-100922,2025-08-30,2025-09-01,2025-09-01,Summit Trucking,"Kingsville, ON","Montreal, QC","Kingsville, ON → Montreal, QC",850,LTL,Strawberries,13995,2.31,1961.25,1,1,1,0,2,2
SHP-100923,2025-04-05,2025-04-06,2025-04-06,TransNorth Logistics,"Kingsville, ON","Toronto, ON","Kingsville, ON → Toronto, ON",366,LTL,Cucumbers,8645,2.37,868.25,1,1,1,0,1,1
SHP-100924,2024-05-01,2024-05-04,2024-05-04,FreshHaul Inc.,"Windsor, ON","Boston, MA","Windsor, ON → Boston, MA",1042,Reefer,Mixed Produce,41999,3.63,3787.53,1,1,1,0,3,3
SHP-100926,2025-08-16,2025-08-17,2025-08-17,Maple Leaf Freight,"Kingsville, ON","Toronto, ON","Kingsville, ON → Toronto, ON",369,LTL,Mixed Produce,6629,3.16,1165.32,1,1,1,0,1,1
SHP-100928,2025-12-19,2025-12-20,2025-12-21,Great Lakes Transport,"Kingsville, ON","Toronto, ON","Kingsville, ON → Toronto, ON",340,TL,Peppers,40832,2.66,903.33,1,1,0,0,1,2
SHP-100929,2024-06-23,2024-06-25,2024-06-25,Maple Leaf Freight,"Windsor, ON","Philadelphia, PA","Windsor, ON → Philadelphia, PA",755,LTL,Tomatoes,11539,2.41,1821.87,1,1,1,0,2,2
SHP-100930,2024-03-05,2024-03-06,2024-03-09,FreshHaul Inc.,"Leamington, ON","Toronto, ON","Leamington, ON → Toronto, ON",371,TL,Cucumbers,44397,2.78,1030.59,1,1,0,0,1,4
SHP-100931,2024-05-03,2024-05-05,2024-05-06,GreenRoute Logistics,"Leamington, ON","Pittsburgh, PA","Leamington, ON → Pittsburgh, PA",517,LTL,Peppers,9290,2.85,1474.25,1,1,0,0,2,3
SHP-100932,2025-08-30,2025-09-01,2025-09-01,Maple Leaf Freight,"Kingsville, ON","Montreal, QC","Kingsville, ON → Montreal, QC",830,LTL,Cucumbers,11111,3.21,2664.21,1,1,1,0,2,2
SHP-100933,2025-07-20,2025-07-23,2025-07-23,FreshHaul Inc.,"Windsor, ON","Atlanta, GA","Windsor, ON → Atlanta, GA",1107,LTL,Strawberries,5922,2.85,3151.95,1,1,1,0,3,3
SHP-100934,2025-09-19,2025-09-20,2025-09-20,Great Lakes Transport,"Kingsville, ON","Toronto, ON","Kingsville, ON → Toronto, ON",368,Reefer,Lettuce,26230,3.39,1245.81,1,1,1,0,1,1
SHP-100935,2025-12-24,2025-12-27,2025-12-27,GreenRoute Logistics,"Windsor, ON","Atlanta, GA","Windsor, ON → Atlanta, GA",1083,LTL,Cucumbers,9933,2.85,3086.22,1,1,1,0,3,3
SHP-100936,2025-12-09,2025-12-10,2025-12-10,Great Lakes Transport,"Kingsville, ON","Detroit, MI","Kingsville, ON → Detroit, MI",59,TL,Peppers,42679,2.67,157.46,1,1,1,0,1,1
